Title,Rating
IMDb Charts,9.3 (2.8M)
IMDb Top 250 Movies,9.2 (2M)
1. The Shawshank Redemption,9.0 (2.8M)
2. The Godfather,9.0 (1.3M)
3. The Dark Knight,9.0 (844K)
4. The Godfather: Part II,9.0 (1.4M)
5. 12 Angry Men,9.0 (1.9M)
6. Schindler's List,8.9 (2.2M)
7. The Lord of the Rings: The Return of the King,8.8 (2M)
8. Pulp Fiction,8.8 (797K)
9. The Lord of the Rings: The Fellowship of the Ring,8.8 (2.2M)
10. The Good, the Bad and the Ugly,8.8 (2.3M)
11. Forrest Gump,8.8 (1.7M)
12. Fight Club,8.8 (2.5M)
13. The Lord of the Rings: The Two Towers,8.7 (1.4M)
14. Inception,8.7 (2M)
15. Star Wars: Episode V - The Empire Strikes Back,8.7 (1.2M)
16. The Matrix,8.7 (1.1M)
17. GoodFellas,8.6 (1.8M)
18. One Flew Over the Cuckoo's Nest,8.6 (485K)
19. Se7en,8.6 (361K)
20. It's a Wonderful Life,8.7 (2M)
21. Shichinin no samurai,8.6 (1.5M)
22. Interstellar,8.6 (1.5M)
23. The Silence of the Lambs,8.6 (788K)
24. Saving Private Ryan,8.6 (730K)
25. City of God,8.6 (1.4M)
26. Life Is Beautiful,8.7 (311K)
27. The Green Mile,8.6 (1.4M)
28. Spider-Man: Across the Spider-Verse,8.6 (1.2M)
29. Star Wars,8.5 (1.3M)
30. Terminator 2: Judgment Day,8.6 (823K)
31. Back to the Future,8.5 (890K)
32. Spirited Away,8.5 (706K)
33. The Pianist,8.5 (910K)
34. Psycho,8.5 (1.6M)
35. Parasite,8.5 (1.1M)
36. Gladiator,8.5 (1.2M)
37. The Lion King,8.5 (1.2M)
38. Léon,8.5 (1.4M)
39. American History X,8.5 (951K)
40. The Departed,8.5 (1.4M)
41. Whiplash,8.5 (301K)
42. The Prestige,8.5 (1.1M)
43. Hotaru no haka,8.6 (66K)
44. The Usual Suspects,8.5 (597K)
45. Seppuku,8.5 (909K)
46. Casablanca,8.5 (255K)
47. Intouchables,8.5 (277K)
48. Modern Times,8.5 (344K)
49. Nuovo Cinema Paradiso,8.5 (513K)
50. Once Upon a Time in the West,8.5 (931K)
51. Rear Window,8.5 (193K)
52. Alien,8.4 (698K)
53. City Lights,8.5 (1.7M)
54. Apocalypse Now,8.4 (1.3M)
55. Django Unchained,8.4 (1M)
56. Memento,8.4 (1.2M)
57. Raiders of the Lost Ark,8.4 (405K)
58. WALL·E,8.4 (233K)
59. Das Leben der Anderen,8.4 (209K)
60. Sunset Blvd.,8.4 (1.2M)
61. Paths of Glory,8.4 (1.1M)
62. Avengers: Infinity War,8.4 (645K)
63. The Shining,8.4 (134K)
64. Spider-Man: Into the Spider-Verse,8.4 (234K)
65. Witness for the Prosecution,8.4 (545K)
66. The Great Dictator,8.4 (750K)
67. Oppenheimer,8.4 (1.5M)
68. Aliens,8.4 (1.8M)
69. Inglourious Basterds,8.3 (1.2M)
70. The Dark Knight Rises,8.4 (511K)
71. American Beauty,8.4 (619K)
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4 (568K)
73. Oldboy,8.4 (421K)
74. Coco,8.3 (1M)
75. Amadeus,8.4 (261K)
76. Toy Story,8.3 (1.1M)
77. Das Boot,8.4 (1.2M)
78. Braveheart,8.4 (1.4M)
79. Avengers: Endgame,8.3 (421K)
80. Joker,8.3 (1M)
81. Princess Mononoke,8.4 (306K)
82. Good Will Hunting,8.3 (371K)
83. Kimi no na wa.,8.4 (51K)
84. Once Upon a Time in America,8.4 (423K)
85. Tengoku to Jigoku,8.3 (256K)
